,accuracy,f1
Bengali,0.7486486486486487,0.74296918767507
Bhojpuri,0.7172619047619048,0.6959276018099547
Gujarati,0.6408839779005525,0.6260924837120609
Haryanvi,0.76775956284153,0.7668387957459883
Hindi,0.7127371273712737,0.7124816230520435
Kannada,0.6720867208672087,0.6643563239992483
Malayalam,0.739247311827957,0.7226505153609064
Odia,0.7479452054794521,0.7416446113128577
Punjabi,0.7602179836512262,0.756219806763285
Tamil,0.738544474393531,0.7123272340663644
