,accuracy,f1
Bengali,0.754054054054054,0.7457159903633384
Bhojpuri,0.7767857142857143,0.7591167614586818
Gujarati,0.7016574585635359,0.6829197080291971
Haryanvi,0.7349726775956285,0.7347330668360295
Hindi,0.7371273712737128,0.7370037546749745
Kannada,0.7344173441734417,0.7235997309526722
Malayalam,0.7446236559139785,0.7251580691071138
Odia,0.7424657534246575,0.7384908536585366
Punjabi,0.7574931880108992,0.752126763449265
Tamil,0.7331536388140162,0.7063958368306194
