,accuracy,f1
Bengali,0.8054054054054054,0.7990101400289715
Bhojpuri,0.8184523809523809,0.8019461381622812
Gujarati,0.8011049723756906,0.7774590163934426
Haryanvi,0.8306010928961749,0.8303528708133971
Hindi,0.8401084010840109,0.8400332116064277
Kannada,0.7967479674796748,0.7867232835751883
Malayalam,0.8252688172043011,0.8030286985068305
Odia,0.8273972602739726,0.8235348287531943
Punjabi,0.8147138964577657,0.8132035928143713
Tamil,0.784366576819407,0.7614454732510287
