,accuracy,f1
Bengali,0.7378378378378379,0.7289500117059762
Bhojpuri,0.75,0.729738011337521
Gujarati,0.6878453038674033,0.664757127988264
Haryanvi,0.7459016393442623,0.7448942118161991
Hindi,0.7425474254742548,0.7422748627009859
Kannada,0.7289972899728997,0.7130459126539754
Malayalam,0.7473118279569892,0.726769807782466
Odia,0.7616438356164383,0.7558978852939142
Punjabi,0.7629427792915532,0.7600928701846132
Tamil,0.7304582210242587,0.7039578678582827
