,accuracy,f1
Bengali,0.7297297297297297,0.7224306076519129
Bhojpuri,0.7321428571428571,0.7104335835759155
Gujarati,0.7403314917127072,0.7128438818565401
Haryanvi,0.7759562841530054,0.7757151824948435
Hindi,0.7398373983739838,0.7397896221425633
Kannada,0.7371273712737128,0.7205003865345422
Malayalam,0.7526881720430108,0.735819927748788
Odia,0.7123287671232876,0.7091765884308057
Punjabi,0.776566757493188,0.7740147783251232
Tamil,0.7250673854447439,0.6980370252154484
