,accuracy,f1
Bengali,0.7432432432432432,0.7365442703063282
Bhojpuri,0.7767857142857143,0.75556525534701
Gujarati,0.7044198895027625,0.6825576344667634
Haryanvi,0.7704918032786885,0.7699353448275862
Hindi,0.7506775067750677,0.7502648305084745
Kannada,0.7046070460704607,0.7026415596513407
Malayalam,0.7338709677419355,0.7135857772800448
Odia,0.7671232876712328,0.7648356312865253
Punjabi,0.773841961852861,0.7711230830496886
Tamil,0.7250673854447439,0.703060263653484
