,accuracy,f1
Bengali,0.6972972972972973,0.6965791940018744
Bhojpuri,0.7440476190476191,0.7361866851696308
Gujarati,0.7569060773480663,0.7209139332772638
Haryanvi,0.7704918032786885,0.7693277310924369
Hindi,0.7642276422764228,0.761961961961962
Kannada,0.7615176151761518,0.7413661271823627
Malayalam,0.7876344086021505,0.7508118879043542
Odia,0.7534246575342466,0.7406524347881007
Punjabi,0.8038147138964578,0.8035682426404995
Tamil,0.7493261455525606,0.7142395706512287
